
"Powerstar Pinetown TCD";;;;
"Unit Number";"▲Last update time";"Vehicle Last Status";"Vehicle Actual Last Address";Difference
9888;"13:04 21.02.2026";"Parking 00  d 10 h 33 min";"South Africa, Lephalale Local Municipality, Lephalale Ward 2Geofence: Limpopo";08:31:11
10215;"13:58 21.02.2026";"Parking 00  d 1 h 05 min";"South Africa, Umjindi Local Municipality, Umjindi Ward 8Geofence: Mpumalanga";07:37:25
10314;"14:43 21.02.2026";"Parking 00  d 1 h 07 min";"South Africa, 1747, Krugersdorp, Mogale City Ward 23Geofence: Gauteng";06:52:16
10044;"14:44 21.02.2026";"Parking 00  d 00  h 55 min";"South Africa, Rustenburg Local Municipality, Rustenburg Ward 32Geofence: North West";06:51:13
10307;"15:12 21.02.2026";"Parking 00  d 22 h 28 min";"South Africa, Govan Mbeki Local Municipality, Govan Mbeki Ward 22Geofence: Mpumalanga";06:23:23
10173;"16:04 21.02.2026";"Parking 00  d 00  h 00 min";"South Africa, Tsantsabane Local Municipality, Tsantsabane Ward 6Geofence: Northen Cape";05:31:00
10204;"16:10 21.02.2026";"Parking 00  d 1 h 34 min";"Eswatini, Mampolo, EmkhweniGeofence: Mpumalanga";05:25:04
10369;"16:43 21.02.2026";"Parking 00  d 1 h 10 min";"South Africa, Gamagara Local Municipality, Gamagara Ward 5Geofence: Northen Cape";04:52:06
10175;"16:50 21.02.2026";"Parking 00  d 00  h 42 min";"South Africa, Emalahleni Local Municipality, Emalahleni Ward 32, R547Geofence: Mpumalanga";04:45:25
10270;"17:18 21.02.2026";"Parking 00  d 8 h 39 min";"South Africa, Thembisile Hani Local Municipality, Thembisile Hani Ward 14Geofence: Mpumalanga";04:16:49
9860;"17:29 21.02.2026";"Moving 8 km/h";"South Africa, Tsantsabane Local Municipality, Tsantsabane Ward 6Geofence: Northen Cape";04:06:07
"Powerstar Ermelo";;;;
"Unit Number";"▲Last update time";"Vehicle Last Status";"Vehicle Actual Last Address";Difference
9880;"16:11 09.10.2025";"Parking 133 d 19 h 15 min";"Zimbabwe, Harare, Borrowdale Road";3245:23:57
10036;"14:55 17.10.2025";"Moving 48 km/h";"South Africa, Lekwa Local Municipality, Lekwa Ward 12, R35Geofence: Mpumalanga";3054:40:16
10501;"14:29 22.12.2025";"Parking 59 d 20 h 57 min";"South Africa, 0690, Polokwane, Polokwane Ward 23, Nelson Mandela DriveGeofence: Limpopo";1471:06:12
9969;"18:55 29.12.2025";"Moving 43 km/h";"Eswatini, Buhleni, MR6Geofence: Mpumalanga";1298:40:06
